1703576700000 42791.09000000 42811.10000000 42749.87000000 42774.12000000 342.73389000 1703577599999 14661320.78812990 10845 200.52506000 8577534.77359810 0
1703577600000 42774.12000000 42796.06000000 42690.00000000 42716.71000000 467.97661000 1703578499999 19998998.39918940 14557 167.88421000 7174769.39982950 0
1703578500000 42716.71000000 42759.76000000 42639.85000000 42693.96000000 451.18616000 1703579399999 19265675.70868520 12975 186.35577000 7958325.55983000 0
1703579400000 42693.96000000 42757.96000000 42661.11000000 42757.96000000 296.57559000 1703580299999 12665805.58407850 10381 170.45019000 7280202.34428530 0
1703580300000 42757.96000000 42798.00000000 42694.63000000 42706.42000000 356.99531000 1703581199999 15261060.44035040 11019 153.70309000 6571086.65918920 0
1703581200000 42706.41000000 42726.96000000 42650.00000000 42650.01000000 295.65297000 1703582099999 12620870.19828160 11875 115.44892000 4928301.08719060 0
1703582100000 42650.00000000 42694.93000000 42595.86000000 42676.76000000 508.81395000 1703582999999 21701020.97540070 15012 245.23739000 10459988.12745240 0
1703583000000 42676.76000000 42711.10000000 42536.63000000 42557.95000000 502.25608000 1703583899999 21405163.83798240 14498 192.80900000 8218487.61303860 0
1703583900000 42557.95000000 42557.96000000 42150.00000000 42408.92000000 1971.10244000 1703584799999 83509167.31097120 57495 889.96008000 37698593.57215060 0
1703584800000 42408.91000000 42557.84000000 42361.11000000 42527.11000000 814.43121000 1703585699999 34592109.15138030 29568 541.46874000 22998474.91596330 0
1703585700000 42527.10000000 42571.09000000 42450.00000000 42565.29000000 437.18201000 1703586599999 18586917.98336110 19707 248.80950000 10578586.28220950 0
1703586600000 42565.30000000 42630.02000000 42553.00000000 42620.83000000 728.17258000 1703587499999 31013062.21734700 14655 516.03513000 21977771.96200340 0
1703587500000 42620.82000000 42676.33000000 42568.55000000 42644.88000000 782.22384000 1703588399999 33340239.85983440 14925 558.09381000 23787296.98970610 0
1703588400000 42644.87000000 42644.88000000 42567.78000000 42582.41000000 258.34897000 1703589299999 11004738.63086370 10160 99.68783000 4246193.73860370 0
1703589300000 42582.41000000 42666.70000000 42575.35000000 42621.79000000 381.94808000 1703590199999 16279001.47649390 12187 225.67048000 9618881.40456520 0
1703590200000 42621.79000000 42754.73000000 42610.94000000 42729.62000000 282.21068000 1703591099999 12045365.35115640 14254 180.29605000 7695475.24761320 0
1703591100000 42729.63000000 42729.63000000 42669.12000000 42685.55000000 335.65171000 1703591999999 14330928.86267660 11285 185.50600000 7920164.10256860 0
1703592000000 42685.56000000 42694.00000000 42627.92000000 42627.93000000 226.42494000 1703592899999 9657167.91856090 10451 94.92938000 4048946.33190370 0
1703592900000 42627.92000000 42736.00000000 42627.92000000 42707.42000000 188.37241000 1703593799999 8039930.74159060 9902 127.89255000 5458591.88518950 0
1703593800000 42707.41000000 42736.78000000 42668.00000000 42736.77000000 162.86259000 1703594699999 6953548.64508660 10102 102.77276000 4388089.51539940 0
1703594700000 42736.78000000 42799.74000000 42736.77000000 42766.88000000 436.66869000 1703595599999 18674278.54873450 14938 311.24930000 13310287.93869830 0
1703595600000 42766.88000000 42766.88000000 42745.06000000 42746.80000000 201.05030000 1703596499999 8596365.05425210 10284 91.83212000 3926598.19842880 0
1703596500000 42746.80000000 42765.00000000 42666.28000000 42675.25000000 297.11824000 1703597399999 12692322.38701040 11822 137.25239000 5864002.79159720 0
1703597400000 42675.26000000 42775.37000000 42623.90000000 42748.73000000 461.91195000 1703598299999 19718289.93868780 14462 225.07899000 9609441.00071820 0
1703598300000 42748.73000000 42757.31000000 42702.32000000 42714.68000000 271.27403000 1703599199999 11590588.35153060 11420 121.00744000 5170050.77026090 0
1703599200000 42714.68000000 42714.69000000 42648.02000000 42686.61000000 286.50444000 1703600099999 12227007.30888380 11959 117.81084000 5027656.96913460 0
1703600100000 42686.62000000 42827.68000000 42651.52000000 42775.56000000 431.65897000 1703600999999 18455598.17493140 15001 268.40017000 11474910.12771510 0
1703601000000 42775.56000000 42775.56000000 42672.93000000 42672.94000000 155.68926000 1703601899999 6651866.33701380 10373 73.86265000 3155812.49745170 0
1703601900000 42672.94000000 42707.86000000 42543.50000000 42600.00000000 451.53243000 1703602799999 19249277.25729860 14793 211.33414000 9009332.60558910 0
1703602800000 42599.99000000 42619.63000000 42418.30000000 42505.36000000 590.40556000 1703603699999 25120321.40147030 19547 282.53274000 12022428.42015880 0
1703603700000 42505.35000000 42650.00000000 42493.51000000 42650.00000000 317.79276000 1703604599999 13533469.23934190 14748 166.62620000 7095989.05474800 0
1703604600000 42650.00000000 42750.01000000 42576.10000000 42576.10000000 326.56032000 1703605499999 13939965.50577690 16253 160.90020000 6868843.91764750 0
1703605500000 42576.10000000 42592.58000000 42250.00000000 42391.50000000 794.59479000 1703606399999 33697742.21226430 30095 398.21131000 16883684.29595530 0
1703606400000 42391.51000000 42434.20000000 42235.36000000 42268.78000000 609.06266000 1703607299999 25787308.08588140 22991 261.12826000 11056161.61770070 0
1703607300000 42268.78000000 42330.00000000 42083.00000000 42285.45000000 1131.76509000 1703608199999 47814030.55730100 31234 599.41203000 25329663.76742940 0
1703608200000 42285.45000000 42350.00000000 42278.54000000 42328.60000000 621.81710000 1703609099999 26320405.53587410 16453 329.20425000 13935386.10736860 0
1703609100000 42328.59000000 42349.12000000 42246.97000000 42319.42000000 402.32643000 1703609999999 17023450.08092050 14839 170.05280000 7195130.22136280 0
1703610000000 42319.41000000 42350.00000000 42226.89000000 42325.52000000 453.79051000 1703610899999 19194239.60899860 16603 210.13581000 8888403.25250570 0
